what are bigos?	[u'Stew']	[u'Polish food']
who played kirk?	[u'Jimmy Bennett', u'Chris Pine', u'William Shatner']	[u'Star Trek V: The Final Frontier', u'Star Trek II: The Wrath of Khan', u'Star Trek IV: The Voyage Home', u'Star Trek Into Darkness', u'William Shatner', u'Jim Carrey', u'USS Enterprise (NCC-1701)']
what did romo do?	[u'Baseball player']	[u'R\xf8m\xf8, Denmark', u'Denmark', u'The Ghost Writer', u'Romo', u'New Romanticism']
what does sarabi?	[u'Physician']	[u'Cancer', u'Leukemia', u'1995-12-20', u'Los Angeles', u'Wayne Sinclair', u'1938-04-28', u'Jamaican American', u'Female', u'Jamaica', u'United States of America', u'Herbert Walters', u'Jemima Walters', u'Kingston', u'Actor', u'Teacher', u'Model', u'Madge Sinclair']
who is rick scott?	[u'Investor', u'Businessperson', u'Politician', u'Lawyer']	[u'Governor of Florida']
who did lbj marry?	[u'Lady Bird Johnson']	[u'LBJ', u'United States of America', u'United States Representative', u'United States Senator', u'President of the United States', u'Samuel Ealy Johnson, Jr.', u'In the Great Society, work shall be an outlet for mans interests and desires. Each individual shall have full opportunity to use his capacities in employment which satisfies personally and contributes generally to the quality of the Nations life.', u'United States Senate', u'Lyndon B. Johnson 1963 presidential inauguration', u'Lyndon B. Johnson 1965 presidential inauguration', u'Hubert Humphrey']
who was dan white?	[u'Firefighter', u'Politician', u'Police officer']	[u'San Francisco', u'San Francisco Supervisor', u'Manslaughter', u'San Francisco District 8', u'San Francisco Board of Supervisors']
who plays kenneth?	[u'Jack McBrayer']	[]
what did hayes do?	[u'President of the United States', u'Governor of Ohio']	[u'United States of America', u'President of the United States', u'Governor of Ohio', u'Federal government of the United States', u'Scottish American', u'United States of America', u'United States of America', u'Associate Justice of the Supreme Court of the United States', u'Sheraton Skyline Hotel at London Heathrow is located in Greater London', u'United Kingdom']
what does gm make?	[u'Automobile']	[u'United States of America', u'Vice President, Vehicle Sales, Service and Marketing, GM North America', u'Vice President of Purchasing, General Motors Europe', u'Vice President and Chief Financial Officer, GM North America', u'Vice President, General Counsel, GM North America', u'Director, Compensation Policy Development and Employee Relations, GM North America', u'Vice President and Chief Financial Officer, GM Europe', u'Vice President, Communications for General Motors Europe', u'General Director, GM North America Car Group', u'Group Vice President, Labor Relations, GM North America', u'Vice President, Sales, Marketing and Aftersales, GM Europe', u'Vice President, Field Sales, Service and Parts, GM North America', u'Vice President and General Manager, Service Parts and Operations, GM North America', u'Vice President, Marketing and Advertising, GM North America', u'Vice President of Quality and Reliability, GM Europe', u'Vice President of Sales, Marketing, and Aftersales, GM Europe', u'General Director, Internal Communications, GM North America', u'Vice President and Managing Director, GM Russia and Commonweath Independent States', u'Sonoma GT', u'Chevrolet Colorado']
who played jeannie?	[u'Barbara Eden']	[]
