1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
2	who played kirk?	374	james t. kirk --> performance actor --> [u'William Shatner', u'Chris Pine', u'Jimmy Bennett']	99	james t. kirk --> regular tv appearance actor --> [u'William Shatner', u'Jim Carrey']	88
3	what did romo do?	1	EMPTY	0	rømø --> location containedby --> [u'Denmark']	0
4	what does sarabi?	317	EMPTY	0	the lion king --> award nomination nominated for --> [u'Circle of Life', u'Hakuna Matata']	9
5	who is rick scott?	17	rick scott --> person profession --> [u'Businessperson', u'Lawyer', u'Politician', u'Investor']	0	rick scott --> government position held office holder --> [u'Ken Detzner', u'Kurt S. Browning']	0
6	who did lbj marry?	877	lyndon b. johnson --> pet ownership owner --> [u'Lady Bird Johnson']	29	lyndon b. johnson --> marriage spouse --> [u'Lady Bird Johnson']	29
7	who was dan white?	93	dan james white --> person profession --> [u'Politician', u'Police officer', u'Firefighter']	0	dan james white --> person profession --> [u'Politician', u'Police officer', u'Firefighter']	0
8	who plays kenneth?	93	kenneth parcell --> regular tv appearance actor --> [u'Jack McBrayer']	71	kenneth parcell --> regular tv appearance actor --> [u'Jack McBrayer']	71
9	what did hayes do?	214	rutherford b. hayes --> government position held office position or title --> [u'President of the United States', u'Governor of Ohio']	74	rutherford b. hayes --> person profession --> [u'Lawyer', u'Politician']	1
10	what does gm make?	414	EMPTY	0	general motors --> company brand relationship brand --> [u'Chevrolet', u'Buick', u'Pontiac', u'Cadillac', u'Oldsmobile']	126
11	who played jeannie?	129	i dream of jeannie --> regular tv appearance actor --> [u'Barbara Eden', u'Barton MacLane', u'Vinton Hayworth', u'Hayden Rorke', u'Larry Hagman']	47	i dream of jeannie --> regular tv appearance actor --> [u'Barbara Eden', u'Barton MacLane', u'Vinton Hayworth', u'Hayden Rorke', u'Larry Hagman']	47
12	who inspired obama?	4946	barack obama --> influence node influenced by --> [u'Nipsey Russell', u'Saul Alinsky']	7	barack obama --> influence node influenced by --> [u'Nipsey Russell', u'Saul Alinsky']	7
13	what is new france?	44230	new france --> location containedby --> [u'North America']	17	france --> location contains --> [u'Boulogne-Billancourt', u'Mines ParisTech', u'University of Strasbourg', u'Paris', u'Ribeauvill\xe9']	3519
15	who plays voldemort?	60	lord voldemort --> performance actor --> [u'Ralph Fiennes', u'Richard Bremmer', u'Frank Dillane', u'Christian Coulson', u'Hero Fiennes-Tiffin']	10	lord voldemort --> performance actor --> [u'Ralph Fiennes', u'Richard Bremmer', u'Frank Dillane', u'Christian Coulson', u'Hero Fiennes-Tiffin']	10
16	who is ruling libya?	1619	libya --> government position held office holder --> [u'Muammar al-Gaddafi', u'Abdul Hafiz Ghoga', u'Mustafa Abdul Jalil', u'Baghdadi Mahmudi', u'Mohammed Ali Salim']	162	libya --> government position held office holder --> [u'Muammar al-Gaddafi', u'Abdul Hafiz Ghoga', u'Mustafa Abdul Jalil', u'Baghdadi Mahmudi', u'Mohammed Ali Salim']	162
17	who founded the kkk?	90	ku klux klan --> organization founders --> [u'Albert Pike', u'William Joseph Simmons', u'David Duke']	68	ku klux klan --> organization founders --> [u'Albert Pike', u'William Joseph Simmons', u'David Duke']	68
18	who founded the afl?	4533	american football league --> organization founders --> [u'Lamar Hunt', u'Bud Adams']	26	american football league --> organization founders --> [u'Lamar Hunt', u'Bud Adams']	26
19	who is jimmy savile?	17	jimmy savile --> person profession --> [u'Presenter', u'Disc jockey']	0	jimmy savile --> person profession --> [u'Presenter', u'Disc jockey']	0
20	what was john tyler?	195	john tyler --> government position held office position or title --> [u'Governor of Virginia', u'United States Representative', u'United States Senator', u'President of the United States', u'Vice President of the United States']	41	john tyler --> government position held office position or title --> [u'Governor of Virginia', u'United States Representative', u'United States Senator', u'President of the United States', u'Vice President of the United States']	41
21	who won fa cup 1976?	393	fa cup --> sports award award winner --> [u'Manchester City F.C.', u'Sunderland A.F.C.', u'Leeds United A.F.C.', u'Coventry City F.C.', u'Liverpool F.C.']	346	fa cup --> sports award award winner --> [u'Manchester City F.C.', u'Sunderland A.F.C.', u'Leeds United A.F.C.', u'Coventry City F.C.', u'Liverpool F.C.']	346
22	what fma stands for?	100	fullmetal alchemist --> adapted work adaptations --> [u'Fullmetal Alchemist: Brotherhood', u'Fullmetal Alchemist the Movie: Conqueror of Shamballa', u'Kids', u'Alchemists Vs Homunculi', u'Fullmetal Alchemist 2: Curse of the Crimson Elixir']	3	newtons laws of motion --> namesake named after --> [u'Isaac Newton']	50
23	when tupac was shot?	471	tupac shakur --> criminal conviction crime commited --> [u'Tupac 1994 assault']	0	tupac shakur --> deceased person place of death --> [u'Las Vegas']	3
24	who was kate chopin?	6	kate chopin --> person profession --> [u'Businessperson', u'Novelist', u'Writer', u'Author']	0	kate chopin --> person profession --> [u'Businessperson', u'Novelist', u'Writer', u'Author']	0
25	when did annie open?	99	annie --> play soundtracks --> [u'Annie (1979 Australian cast)', u'Annie (1977 original Broadway cast)', u'Annie (2001 Madrid cast)']	0	annie --> adapted work adaptations --> [u'Annie', u'Annie']	9
26	who was vp for nixon?	2064	richard nixon --> us president vice president --> [u'Gerald Ford', u'Spiro Agnew']	294	richard nixon --> us president vice president --> [u'Gerald Ford', u'Spiro Agnew']	294
27	what do see in paris?	126791	paris --> travel destination tourist attractions --> [u'Petit Palais', u'\xcele de la Cit\xe9', u'Disneyland Park', u"Mus\xe9e d'Orsay", u'The Louvre']	175	paris --> travel destination tourist attractions --> [u'Petit Palais', u'\xcele de la Cit\xe9', u'Disneyland Park', u"Mus\xe9e d'Orsay", u'The Louvre']	175
28	where is kansas city?	6365	kansas city --> hud county place county --> [u'Platte County']	7	kansas city --> hud county place place --> [u'Kansas City']	4233
29	what does ringo sing?	1058	ringo starr --> track contribution track --> [u'Oh! Darling', u'California Calling', u'Roll Over Beethoven', u'Roll Over Beethoven', u'You Never Give Me Your Money']	0	ringo starr --> group member instruments played --> [u'Organ', u'Clarinet', u'Drum', u'Double bass', u'Drums']	29
30	who is michael buble?	0	michael bublé --> person profession --> [u'Actor', u'Singer', u'Songwriter']	0	michael bublé --> dated participant --> [u'Emily Blunt']	0
31	who owns google 2012?	880	google --> organization board membership member --> [u'Eric Schmidt', u'John L. Hennessy', u'Larry Page', u'Sergey Brin', u'John Doerr']	119	google --> organization founders --> [u'Larry Page', u'Sergey Brin']	77
32	where is shakira from?	343	shakira --> person nationality --> [u'Colombia']	16	shakira --> person place of birth --> [u'Barranquilla']	1
33	where is mali located?	2613	mali --> location containedby --> [u'Africa', u'West Africa']	70	mali --> location containedby --> [u'Africa', u'West Africa']	70
34	who plays john connor?	54	john connor --> performance actor --> [u'Nick Stahl', u'Christian Bale', u'Edward Furlong']	6	john connor --> performance actor --> [u'Nick Stahl', u'Christian Bale', u'Edward Furlong']	6
35	who is moira in x men?	334	EMPTY	0	x-men --> performance actor --> [u'Daniel Magder', u'Gary Goddard', u'Daniel Vivian', u'Darren McGuire', u'Stan Lee']	1
36	who plays simon birch?	29	simon birch --> award honor award winner --> [u'Ian Michael Smith']	6	simon birch --> performance actor --> [u'David Strathairn', u'Devon Alan', u'Tim Hall', u'Blake Hubbell', u'Jeffrey Schoeny']	1
37	who do pagans worship?	7	paganism --> religion deities --> [u'Odin']	2	paganism --> religion deities --> [u'Odin']	2
38	who plays donna noble?	65	donna noble --> tv guest role actor --> [u'Catherine Tate']	30	donna noble --> tv guest role actor --> [u'Catherine Tate']	30
39	who owns mazda canada?	54	EMPTY	0	mazda --> organization founders --> [u'Jujiro Matsuda']	3
40	what was lucille ball?	771	lucille ball --> person profession --> [u'Actor', u'Television Producer', u'Singer', u'Comedian', u'Model']	0	lucille ball --> tv program creator programs created --> [u'The Lucy Show', u"Here's Lucy"]	46
41	what was robert burns?	102	robert burns --> person profession --> [u'Poet', u'Writer', u'Author', u'Bard']	0	robert burns --> person profession --> [u'Poet', u'Writer', u'Author', u'Bard']	0
42	when was john paul ii?	194	EMPTY	0	pope john paul ii --> religious organization leadership role --> [u'Pope']	45
43	who were mary shelley?	492	mary shelley --> person profession --> [u'Editor', u'Novelist', u'Writer', u'Author', u'Biographer']	0	mary shelley --> marriage spouse --> [u'Percy Bysshe Shelley']	59
44	where is the un based?	13614	united nations --> mailing address citytown --> [u'New York City']	224	united nations --> mailing address citytown --> [u'New York City']	224
45	who is thor heyerdahl?	13	thor heyerdahl --> person profession --> [u'Film Producer', u'Actor', u'Scientist', u'Film Director', u'Cinematographer']	0	thor heyerdahl --> award nomination award nominee --> [u'Lennart Ehrenborg']	0
46	who was wesley snipes?	109	wesley snipes --> person profession --> [u'Businessperson', u'Film Producer', u'Actor', u'Martial artist']	0	wesley snipes --> canoodled participant --> [u'Sanaa Lathan']	5
47	what language tunisia?	1596	tunisia --> country languages spoken --> [u'French Language', u'Arabic Language']	24	tunisia --> country languages spoken --> [u'French Language', u'Arabic Language']	24
49	who plays juni cortez?	1	juni cortez --> performance actor --> [u'Daryl Sabara']	1	juni cortez --> performance actor --> [u'Daryl Sabara']	1
50	who is angelina jolie?	1301	angelina jolie --> person profession --> [u'Film Producer', u'Actor', u'Writer', u'Screenwriter', u'Voice Actor']	1	angelina jolie --> romantic relationship celebrity --> [u'Brad Pitt', u'Jenny Shimizu']	88
51	what did dr. seuss do?	81	dr. seuss --> person profession --> [u'Film Producer', u'Poet', u'Writer', u'Screenwriter', u'Songwriter']	0	dr. seuss --> author works written --> [u'Hop on Pop', u'Happy Birthday to You!', u'The Lorax', u'On Beyond Zebra!', u'If I Ran the Circus']	13
52	who is moira en x men?	334	EMPTY	0	x-men --> award honor award winner --> [u'Hugh Jackman', u'Bryan Singer', u'Louise Mingenbach']	23
54	who is jacob latimore?	0	jacob latimore --> person profession --> [u'Actor', u'Singer', u'Dancer']	0	jacob latimore --> person parents --> [u'Latitia Taylor', u'Jacob Latimore, Sr.']	0
55	who wrote st trinians?	33	st trinians school --> fictional universe created by --> [u'Ronald Searle']	9	st. trinians --> performance actor --> [u'Colin Firth', u'Stephen Fry', u'Jodie Whittaker', u'Tamsin Egerton', u'Amara Karan']	3
56	what sri lanka capital?	2565	sri lanka --> country capital --> [u'Sri Jayawardenapura Kotte']	5	sri lanka --> location containedby --> [u'Asia', u'South Asia', u'Eurasia']	141
57	where buddha come from?	224	gautama buddha --> person place of birth --> [u'Lumbini']	14	gautama buddha --> person place of birth --> [u'Lumbini']	14
58	who was vp for lincoln?	2877	vice president --> government position held office holder --> [u'Omar Suleiman', u'John Dramani Mahama', u'Al Gore', u'Hosni Mubarak', u'Lee Teng-hui']	1	abraham lincoln --> us president vice president --> [u'Hannibal Hamlin', u'Andrew Johnson']	122
59	what does monsanto own?	10	monsanto --> business operation industry --> [u'Agriculture', u'Agricultural Chemicals', u'Chemical industry', u'Seed']	2	monsanto --> organization place founded --> [u'St. Louis']	1
60	who plays billy elliot?	85	billy elliot --> award honor award winner --> [u'Julie Walters', u'Greg Brenman', u'Lee Hall', u'Jamie Bell', u'Stephen Daldry']	34	billy elliot --> award honor award winner --> [u'Julie Walters', u'Greg Brenman', u'Lee Hall', u'Jamie Bell', u'Stephen Daldry']	34
61	who was gerald ford vp?	1214	gerald ford --> us president vice president --> [u'Nelson Rockefeller']	24	gerald ford --> appointment appointed by --> [u'Richard Nixon']	231
62	what does bentley mean?	23	bentley motors limited --> object name --> [u'Bentley Motors Limited']	0	bentley motors limited --> company make s --> [u'Bentley']	0
63	who plays harley quinn?	64	harley quinn --> regular tv appearance actor --> [u'Hynden Walch', u'Arleen Sorkin', u'Mia Sara']	9	harley quinn --> regular tv appearance actor --> [u'Hynden Walch', u'Arleen Sorkin', u'Mia Sara']	9
64	what did fred durst do?	61	fred durst --> person profession --> [u'Businessperson', u'Actor', u'Guitarist', u'Musician', u'Singer']	0	fred durst --> person profession --> [u'Businessperson', u'Actor', u'Guitarist', u'Musician', u'Singer']	0
65	who won fedex cup 2012?	4	fedex cup --> sports award award winner --> [u'Brandt Snedeker']	2	fedex cup --> sports award award winner --> [u'Brandt Snedeker']	2
67	what to do san jose ca?	9728	san jose --> travel destination tourist attractions --> [u"Children's Discovery Museum of San Jose", u'San Jose Museum of Quilts & Textiles', u'San Jose Museum of Art', u'Rosicrucian Egyptian Museum', u'The Tech Museum of Innovation']	10	san jose --> location contains --> [u'San Jos\xe9 State University', u'Willow Glen', u'Gunderson High School', u'Hayes Mansion', u'First Unitarian Universalist Church']	35
68	who voiced darth vader?	2688	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
69	who played cletus hogg?	0	cletus hogg --> performance actor --> [u'Jack Polick']	0	cletus hogg --> regular tv appearance actor --> [u'Rick Hurst']	0
70	where is jay leno from?	287	jay leno --> person place of birth --> [u'New Rochelle']	0	jay leno --> person place of birth --> [u'New Rochelle']	0
71	who is sir james dyson?	736	james dyson --> person profession --> [u'Designer', u'Inventor', u'Engineer', u'Industrial designer']	0	james bond --> fictional character character created by --> [u'Ian Fleming']	280
72	what was goebbels role?	83	EMPTY	0	joseph goebbels --> writer film --> [u'Wunschkonzert', u'Kolberg', u'Life Goes On']	1
73	where does bronx begin?	1760	the bronx --> travel destination tourist attractions --> [u'Woodlawn Cemetery', u'Bronx Zoo', u'Bartow-Pell Mansion', u'Wave Hill', u'New York Botanical Garden']	41	the bronx --> location containedby --> [u'New York City', u'New York', u'United States of America']	306
74	who plays spike spiegel?	75	spike spiegel --> performance actor --> [u'Koichi Yamadera', u'Steven Blum']	2	spike spiegel --> performance actor --> [u'Koichi Yamadera', u'Steven Blum']	2
75	where is walton indiana?	11	walton --> location containedby --> [u'United States of America', u'Indiana', u'Cass County', u'Tipton Township']	0	walton --> hud county place place --> [u'Walton']	11
76	who has ray allen dated?	409	ray allen --> marriage spouse --> [u'Shannon Walker Williams']	0	ray allen --> athlete salary team --> [u'Boston Celtics', u'Miami Heat']	32
77	what inspired steinbeck?	469	john steinbeck --> influence node influenced by --> [u'William Faulkner', u'Robert Burns', u'Sherwood Anderson', u'Thomas Malory']	18	john steinbeck --> influence node influenced by --> [u'William Faulkner', u'Robert Burns', u'Sherwood Anderson', u'Thomas Malory']	18
78	who were jesus siblings?	559	EMPTY	0	jesus christ --> person parents --> [u'Mary', u'Saint Joseph']	134
79	where are samsung based?	75	samsung group --> mailing address citytown --> [u'Seoul']	3	samsung group --> mailing address country --> [u'South Korea']	16
80	where was st. lucy born?	8	saint lucy --> deceased person place of death --> [u'Syracuse']	4	saint lucy --> person place of birth --> [u'Syracuse']	4
81	who is keyshia cole dad?	77	keyshia cole --> person parents --> [u'Leon Cole', u'Yvonne Cole', u'Francine Lons']	0	keyshia cole --> dated participant --> [u'Young Jeezy']	6
82	what can do in new york?	175232	new york --> location contains --> [u'Fabius', u'Laurens', u'Laurens', u'Milford', u'Milford']	0	new york city --> location contains --> [u'Port Morris', u'New Lots', u'Hotel Pennsylvania', u'Mesivtha Tifereth Jerusalem', u'Ocean Hill']	11
83	what timezone is sweden?	6334	sweden --> location time zones --> [u'UTC+01:00', u'Central European Time']	27	sweden --> location time zones --> [u'UTC+01:00', u'Central European Time']	27
84	where english is spoken?	21032	english language --> human language countries spoken in --> [u'England', u'Japan', u'Hong Kong', u'India', u'Philippines']	299	english language --> human language countries spoken in --> [u'England', u'Japan', u'Hong Kong', u'India', u'Philippines']	299
85	where is the city wales?	7427	wales --> location containedby --> [u'United Kingdom', u'United Kingdom, with Dependencies and Territories']	352	wales --> location containedby --> [u'United Kingdom', u'United Kingdom, with Dependencies and Territories']	352
86	what did drita find out?	0	EMPTY	0	fk drita --> sports team founded --> [u'1994']	0
87	where was john jay born?	203	john jay --> person place of birth --> [u'New York City']	2	john jay --> person place of birth --> [u'New York City']	2
88	what killed john bonham?	157	john bonham --> deceased person cause of death --> [u'Inhalation of vomit']	0	john bonham --> deceased person cause of death --> [u'Inhalation of vomit']	0
89	where is tunis on a map?	645	tunis --> location containedby --> [u'Africa', u'Tunisia', u'Tunis Governorate']	294	tunis --> location containedby --> [u'Africa', u'Tunisia', u'Tunis Governorate']	294
90	who was stephen r covey?	10	stephen covey --> person profession --> [u'Professor', u'Management', u'Writer', u'Author', u'Consultant']	0	stephen covey --> person profession --> [u'Professor', u'Management', u'Writer', u'Author', u'Consultant']	0
91	who was tupac signed to?	250	tupac shakur --> artist label --> [u'Amaru Entertainment', u'Interscope Records', u'Death Row Records']	16	tupac shakur --> music contributor film --> [u"Def Jam's How to Be a Player", u'Tupac: Resurrection']	4
92	who brad pitt has dated?	1537	brad pitt --> romantic relationship celebrity --> [u'Angelina Jolie', u'Shalane McCall', u'Jill Schoelen', u'Jennifer Aniston', u'Thandie Newton']	103	brad pitt --> award honor award winner --> [u'Tom Cruise', u'Angelina Jolie', u'Sarah Green', u'Edward Zwick', u'Diane Kruger']	126
93	what capital of austria?	59476	vienna --> webpage resource --> [u"Chris Harrison blogs 'The Bachelor': Season 14, episode 3", u'Michael Jackson tribute concert delayed until next year', u'Chris Brown, Mary J. Blige slated for Michael Jackson tribute concert', u'Michael Jackson tribute in Vienna will be broadcast worldwide', u'Nobel Prize Winner Eric Kandel Talks About New Documentary, \u201cIn Search of Memory\u201d']	0	vienna --> administrative division second level division of --> [u'Austria']	1773
94	when is venus brightest?	297	venus --> astrology branch --> [u'Western astrology', u'Tropical Astrology', u'Horoscopic astrology']	0	venus --> performance film --> [u'Goddess of Love']	0
95	what to visit in denver?	15510	denver --> travel destination tourist attractions --> [u"Children's Museum of Denver", u'Forney Transportation Museum', u'Molly Brown House', u'Denver Museum of Nature and Science', u'Westin Westminster']	4	denver --> us county hud county place --> [u'Denver']	3168
96	what is newcastle metro?	2	tyne and wear metro --> transit system area served --> [u'Tyne and Wear']	2	tyne and wear metro --> object name --> [u'Tyne and Wear Metro']	0
97	where is south portland?	185	south portland --> location containedby --> [u'Maine', u'United States of America', u'Cumberland County']	11	south portland --> hud county place place --> [u'South Portland']	170
99	what was kim richards in?	17	kim richards --> performance film --> [u'The Whiz Kid and the Mystery at Riverton', u'No Deposit, No Return', u'Race to Witch Mountain', u'The Car', u'Raid on Entebbe']	2	kim richards --> performance film --> [u'The Whiz Kid and the Mystery at Riverton', u'No Deposit, No Return', u'Race to Witch Mountain', u'The Car', u'Raid on Entebbe']	2
100	who was anakin skywalker?	2688	darth vader --> alternate persona personae --> [u'Darth Vader']	617	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
101	what timezone is utah in?	9562	utah --> location time zones --> [u'Mountain Time Zone', u'UTC\u221207:00']	16	utah --> location time zones --> [u'Mountain Time Zone', u'UTC\u221207:00']	16
102	where did frank baum die?	205	l. frank baum --> deceased person place of death --> [u'Hollywood']	0	l. frank baum --> place lived location --> [u'Syracuse']	1
103	where was rihanna raised?	920	rihanna --> artist origin --> [u'Saint Michael Parish', u'Barbados']	11	rihanna --> place lived location --> [u'Barbados']	11
104	who is emma stone father?	109	emma stone --> person parents --> [u'Krista Stone', u'Jeff Stone']	0	emma stone --> person parents --> [u'Krista Stone', u'Jeff Stone']	0
105	where does tim cook work?	28	timothy d. cook --> leadership organization --> [u'Apple Store', u'Apple Inc.']	13	timothy d. cook --> person place of birth --> [u'Robertsdale']	0
106	where did robin cook die?	18	robin cook --> deceased person place of death --> [u'Inverness']	0	robin cook --> person nationality --> [u'Scotland', u'United Kingdom']	8
107	who plays stanley hudson?	25	stanley hudson --> regular tv appearance actor --> [u'Leslie David Baker']	24	stanley hudson --> regular tv appearance actor --> [u'Leslie David Baker']	24
